original_sentence,processed_tokens
"HTML, CSS, Django, MongoDB",html css django mongodp
"React, JavaScript, Linux, Docker, CSS",react javascript linux docker css
"ASP.NET, Java, HTML, C#, C#",aspnet jav html
"ASP.NET, Next.js, Azure, JavaScript, Git",aspnet nextjs azure javascript git
"Java, Django, Kubernetes",jav django kubernetes
"Python, SQL, CSS",python sql css
"C#, Next.js, React, Docker",nextjs react docker
"MongoDB, Java, Node.js",mongodp jav nodejs
"CSS, Next.js, Flutter, SQL",css nextjs flutter sql
"Flask, C#, Django, Git",flask django git
"ASP.NET, Azure, Node.js, Flutter",aspnet azure nodejs flutter
"React, ASP.NET, MongoDB, Kubernetes",react aspnet mongodp kubernetes
"SQL, CSS, Python, Python, Next.js, JavaScript",sql css python python nextjs javascript
"Django, Node.js, ASP.NET, Flutter, Next.js, C#",django nodejs aspnet flutter nextjs
"ASP.NET, Flask, Java, Java",aspnet flask jav jav
"Next.js, Linux, MongoDB, JavaScript, Linux, React",nextjs linux mongodp javascript linux react
"Azure, JavaScript, HTML, Linux",azure javascript html linux
"Django, Next.js, Docker",django nextjs docker
"Linux, Java, Python, CSS, Docker, Flutter",linux jav python css docker flutter
"SQL, Flask, Python, MongoDB, HTML, Next.js",sql flask python mongodp html nextjs
"Python, MongoDB, MongoDB",python mongodp mongodp
"ASP.NET, HTML, C#, SQL, JavaScript",aspnet html sql javascript
"Azure, Next.js, Git",azure nextjs git
"SQL, Java, Azure",sql jav azure
"HTML, Git, Linux, React, HTML, Git",html git linux react html git
"Docker, CSS, Next.js, JavaScript, C#, SQL",docker css nextjs javascript sql
"CSS, MongoDB, SQL, HTML, MongoDB, Kubernetes",css mongodp sql html mongodp kubernetes
"C#, Flask, Flask, JavaScript",flask flask javascript
"Node.js, SQL, HTML",nodejs sql html
"HTML, MongoDB, ASP.NET",html mongodp aspnet
"Docker, Azure, JavaScript, MongoDB, CSS, SQL",docker azure javascript mongodp css sql
"Node.js, Next.js, Python",nodejs nextjs python
"JavaScript, Docker, Docker, C#, Linux, Kubernetes",javascript docker docker linux kubernetes
"Next.js, Python, Next.js, ASP.NET",nextjs python nextjs aspnet
"Flask, Docker, Java, CSS",flask docker jav css
"Docker, HTML, MongoDB, Flask, Java, C#",docker html mongodp flask jav
"C#, Kubernetes, MongoDB",kubernetes mongodp
"ASP.NET, Linux, Flask",aspnet linux flask
"Next.js, Python, Git, React, Flutter, Flask",nextjs python git react flutter flask
"Docker, Django, JavaScript, Next.js, Flutter, Docker",docker django javascript nextjs flutter docker
"Node.js, Azure, Django, Python, SQL",nodejs azure django python sql
"ASP.NET, Git, Git, C#",aspnet git git
"CSS, CSS, Azure, Docker",css css azure docker
"Python, Azure, Git, Git, Next.js, MongoDB",python azure git git nextjs mongodp
"ASP.NET, Linux, JavaScript, Python, Docker",aspnet linux javascript python docker
"Azure, Kubernetes, C#",azure kubernetes
"CSS, Node.js, C#, Python",css nodejs python
"JavaScript, ASP.NET, JavaScript, Docker",javascript aspnet javascript docker
"Linux, Python, Flutter, Java, React",linux python flutter jav react
"Docker, React, JavaScript",docker react javascript
"Node.js, JavaScript, React, Flutter, Next.js",nodejs javascript react flutter nextjs
"Java, React, Git, Flutter, HTML",jav react git flutter html
"Django, Django, Django",django django django
"JavaScript, Linux, Docker, Java",javascript linux docker jav
"Flutter, Flask, HTML, HTML, Node.js",flutter flask html html nodejs
"C#, Git, Kubernetes, Kubernetes",git kubernetes kubernetes
"Flutter, HTML, ASP.NET, MongoDB",flutter html aspnet mongodp
"Docker, Git, Next.js, Node.js",docker git nextjs nodejs
"Django, Azure, JavaScript",django azure javascript
"HTML, Kubernetes, ASP.NET, Kubernetes",html kubernetes aspnet kubernetes
"React, CSS, React",react css react
"C#, C#, ASP.NET, JavaScript, HTML",aspnet javascript html
"CSS, Flutter, Node.js, Docker, SQL",css flutter nodejs docker sql
"JavaScript, Flutter, Kubernetes, CSS, ASP.NET",javascript flutter kubernetes css aspnet
"Python, Flask, JavaScript, SQL",python flask javascript sql
"React, MongoDB, Node.js, Kubernetes, Linux, ASP.NET",react mongodp nodejs kubernetes linux aspnet
"Flask, CSS, Django, Next.js, JavaScript",flask css django nextjs javascript
"Kubernetes, Node.js, MongoDB, Docker, Flask",kubernetes nodejs mongodp docker flask
"Flask, Next.js, Node.js, Java, MongoDB",flask nextjs nodejs jav mongodp
"Java, CSS, Python, ASP.NET, Flutter",jav css python aspnet flutter
"SQL, React, Docker, Next.js, Node.js",sql react docker nextjs nodejs
"SQL, Flask, Kubernetes, CSS, Flutter",sql flask kubernetes css flutter
"Python, Azure, JavaScript, Java",python azure javascript jav
"Java, Django, Python, Flask, Linux, HTML",jav django python flask linux html
"Java, MongoDB, Java, CSS",jav mongodp jav css
"Docker, Flask, Docker, Java",docker flask docker jav
"SQL, Python, Flask, SQL, Python, Azure",sql python flask sql python azure
"MongoDB, ASP.NET, ASP.NET, Flutter, CSS",mongodp aspnet aspnet flutter css
"Azure, Kubernetes, JavaScript, Docker",azure kubernetes javascript docker
"ASP.NET, C#, HTML, C#",aspnet html
"SQL, Kubernetes, Java, Flask, Git, Java",sql kubernetes jav flask git jav
"C#, Kubernetes, Git, ASP.NET, Flask, CSS",kubernetes git aspnet flask css
"React, MongoDB, Python",react mongodp python
"MongoDB, Git, Linux, Python, React",mongodp git linux python react
